Dataset, Algorithm, Time (μs), Flag
25, ILP-CPP, 2795, 0
25, ILP-PY, 86063, 0
26, BF, -1, 1
26, BT, -1, 1
26, BB, 47, 0
26, DP-Vector, 322897, 0
26, DP-HashMap, 394, 0
26, DP-Optimized, 149518, 0
26, Greedy, 24, 0
26, ILP-CPP, 2845, 0
26, ILP-PY, 86402, 0



